image,success,elapsed_ms,inliers,total_matches,reprojection_error,best_view
frame_000097.jpg,1,3951.841,14,132,2.16605,synthetic_024
frame_000098.jpg,1,3485.333,9,100,1.47981,synthetic_021
frame_000099.jpg,1,3461.431,14,128,2.95488,synthetic_022
frame_000100.jpg,1,4158.549,14,152,4.13356,synthetic_027
frame_000101.jpg,1,2514.020,14,124,3.16112,synthetic_016
frame_000102.jpg,1,5241.527,12,149,2.80152,synthetic_033
frame_000103.jpg,1,2722.918,20,118,3.80549,synthetic_016
frame_000104.jpg,1,4081.517,23,116,4.55447,synthetic_025
frame_000105.jpg,1,2092.423,12,157,2.29184,synthetic_013
frame_000106.jpg,1,481.144,10,121,1.89132,synthetic_002
frame_000107.jpg,1,5216.667,17,162,3.09056,synthetic_033
frame_000108.jpg,1,520.778,14,116,2.72832,synthetic_002
frame_000109.jpg,1,3912.695,8,128,1.79153,synthetic_023
frame_000110.jpg,1,2799.173,10,116,1.09983,synthetic_017
frame_000111.jpg,1,616.623,10,109,1.52070,synthetic_003
frame_000112.jpg,1,4968.606,12,117,2.36737,synthetic_031
frame_000113.jpg,1,1103.921,13,109,2.67380,synthetic_006
frame_000114.jpg,1,1742.251,9,116,0.78916,synthetic_010
frame_000115.jpg,1,5243.651,15,152,3.95479,synthetic_033
frame_000116.jpg,1,4588.346,11,136,2.55632,synthetic_029
frame_000117.jpg,1,4287.935,10,143,1.66289,synthetic_027
frame_000118.jpg,1,2893.892,9,141,1.42827,synthetic_018
frame_000119.jpg,1,1999.901,8,120,1.32695,synthetic_012
frame_000120.jpg,1,805.598,12,125,2.88306,synthetic_004
frame_000121.jpg,1,1116.225,12,131,2.44724,synthetic_006
frame_000122.jpg,1,4261.761,14,172,3.66275,synthetic_027
frame_000123.jpg,1,5177.144,14,151,2.55900,synthetic_033
frame_000124.jpg,1,4325.411,18,159,3.18522,synthetic_027
frame_000125.jpg,1,2680.963,12,112,2.47835,synthetic_016
frame_000126.jpg,1,2636.891,11,113,1.77945,synthetic_016
frame_000127.jpg,1,665.387,21,119,3.72534,synthetic_003
frame_000128.jpg,1,2318.498,11,126,2.30490,synthetic_014
frame_000129.jpg,1,1240.574,21,120,4.19311,synthetic_007
frame_000130.jpg,1,3788.833,11,92,1.61985,synthetic_024
frame_000131.jpg,1,2801.479,19,117,3.95865,synthetic_017
frame_000132.jpg,1,4133.095,16,122,3.04961,synthetic_025
frame_000133.jpg,1,4613.595,15,120,2.98559,synthetic_027
frame_000134.jpg,1,476.557,17,126,3.27275,synthetic_002
frame_000135.jpg,1,641.611,20,151,3.56093,synthetic_003
frame_000136.jpg,1,1736.492,10,118,1.23452,synthetic_010
frame_000137.jpg,1,3419.346,9,104,0.95243,synthetic_021
frame_000138.jpg,1,5097.274,8,103,1.16106,synthetic_031
frame_000139.jpg,1,3767.720,10,109,2.00721,synthetic_024
frame_000140.jpg,1,4684.916,9,107,0.79201,synthetic_030
frame_000141.jpg,1,1671.043,9,129,2.26870,synthetic_009
frame_000142.jpg,1,2448.082,15,125,2.52497,synthetic_015
frame_000143.jpg,1,2600.872,11,76,2.09310,synthetic_016
frame_000144.jpg,1,1149.785,11,106,2.20270,synthetic_006
frame_000145.jpg,1,3120.474,20,105,3.35513,synthetic_020
frame_000146.jpg,1,2575.156,10,79,1.76346,synthetic_016
frame_000147.jpg,1,1094.242,14,111,2.84176,synthetic_006
frame_000148.jpg,1,5545.579,12,79,2.06807,synthetic_035
frame_000149.jpg,1,2489.161,14,106,2.62284,synthetic_015
frame_000150.jpg,1,2257.315,18,79,3.19334,synthetic_013
frame_000151.jpg,1,650.790,23,117,3.79166,synthetic_003
frame_000152.jpg,1,630.131,13,99,3.35173,synthetic_003
frame_000153.jpg,1,3078.743,9,72,1.30910,synthetic_020
frame_000154.jpg,1,3361.657,14,99,1.99909,synthetic_020
frame_000155.jpg,1,4608.874,9,102,1.88946,synthetic_027
frame_000156.jpg,1,2852.283,13,85,2.23998,synthetic_017
frame_000157.jpg,1,3112.868,8,90,1.15190,synthetic_020
frame_000158.jpg,1,4229.390,11,89,1.53457,synthetic_027
frame_000159.jpg,1,2856.038,9,98,1.23138,synthetic_018
frame_000160.jpg,1,3607.025,11,99,1.81642,synthetic_022
frame_000161.jpg,1,5793.000,13,85,2.73168,synthetic_035
frame_000162.jpg,1,1885.865,12,123,2.54525,synthetic_011
frame_000163.jpg,1,2809.114,19,116,4.38328,synthetic_018
frame_000164.jpg,1,935.287,15,103,3.47848,synthetic_005
frame_000165.jpg,1,1374.601,8,82,1.09669,synthetic_008
frame_000166.jpg,1,1933.671,14,133,2.06363,synthetic_011
frame_000167.jpg,1,539.556,15,107,3.34063,synthetic_002
frame_000168.jpg,1,2785.227,10,105,1.96146,synthetic_017
frame_000169.jpg,1,5001.298,10,124,2.47674,synthetic_033
frame_000170.jpg,1,4421.677,11,104,2.70671,synthetic_029
frame_000171.jpg,1,4293.610,14,100,2.98061,synthetic_027
frame_000172.jpg,1,499.530,10,106,1.31402,synthetic_002
frame_000173.jpg,1,801.299,9,104,1.79706,synthetic_004
frame_000174.jpg,1,3405.122,9,77,1.17799,synthetic_021
frame_000175.jpg,1,5498.554,9,110,1.69054,synthetic_035
frame_000176.jpg,1,946.341,8,91,0.87029,synthetic_005
frame_000177.jpg,1,2937.509,9,129,2.38659,synthetic_018
frame_000178.jpg,1,3718.023,8,107,2.18578,synthetic_023
frame_000179.jpg,1,2490.554,9,126,0.92869,synthetic_015
frame_000180.jpg,1,1134.010,12,155,2.01411,synthetic_006
frame_000181.jpg,1,3407.530,13,129,2.04795,synthetic_021
frame_000182.jpg,1,3547.036,11,123,1.88493,synthetic_022
frame_000183.jpg,1,4319.120,14,147,3.38393,synthetic_027
frame_000184.jpg,1,5361.083,9,118,1.17738,synthetic_034
frame_000185.jpg,1,2476.583,12,113,2.19681,synthetic_015
frame_000186.jpg,1,2473.376,11,109,1.64820,synthetic_015
frame_000187.jpg,1,1724.513,9,119,1.42878,synthetic_010
frame_000188.jpg,1,488.864,8,121,0.71821,synthetic_002
frame_000189.jpg,1,3987.267,14,118,2.85797,synthetic_025
frame_000190.jpg,1,3530.070,19,144,4.35988,synthetic_022
frame_000191.jpg,1,801.548,15,123,2.75264,synthetic_004
frame_000192.jpg,1,4170.481,10,103,1.47051,synthetic_026
frame_000193.jpg,1,4174.314,11,111,1.21417,synthetic_026
frame_000194.jpg,1,4439.596,19,129,2.72635,synthetic_028
frame_000195.jpg,1,3984.022,9,105,1.59011,synthetic_025
frame_000196.jpg,1,1109.880,9,115,1.63713,synthetic_006
frame_000197.jpg,1,1097.032,11,104,2.07442,synthetic_006
frame_000198.jpg,1,4613.864,8,102,1.76994,synthetic_029
frame_000199.jpg,1,3534.334,9,114,0.92503,synthetic_022
frame_000200.jpg,1,3868.701,11,123,1.20783,synthetic_024
frame_000201.jpg,1,4327.169,12,144,1.71406,synthetic_027
frame_000202.jpg,1,644.068,9,108,2.19903,synthetic_003
frame_000203.jpg,1,4355.476,11,147,2.05301,synthetic_027
frame_000204.jpg,1,2504.375,15,133,3.15575,synthetic_015
frame_000205.jpg,1,3559.377,9,102,2.07105,synthetic_022
frame_000206.jpg,1,2786.392,17,114,3.51082,synthetic_017
frame_000207.jpg,1,4285.425,19,126,3.66388,synthetic_027
frame_000208.jpg,1,3191.169,9,89,1.87994,synthetic_020
frame_000209.jpg,1,2779.613,13,102,2.73511,synthetic_017
frame_000210.jpg,1,800.203,9,99,1.96788,synthetic_004
frame_000211.jpg,1,4314.865,12,123,1.66383,synthetic_027
frame_000212.jpg,1,4135.527,20,114,5.56456,synthetic_026
frame_000213.jpg,1,2758.342,11,85,2.79925,synthetic_017
frame_000214.jpg,1,2752.362,11,82,2.06402,synthetic_017
frame_000215.jpg,1,1854.247,8,77,2.08604,synthetic_011
frame_000216.jpg,1,800.522,11,86,2.19544,synthetic_004
frame_000217.jpg,1,4112.051,14,89,2.50446,synthetic_026
frame_000218.jpg,1,2602.557,21,97,4.15160,synthetic_016
frame_000219.jpg,1,2160.891,23,119,4.84944,synthetic_013
frame_000220.jpg,1,331.703,12,79,2.01142,synthetic_001
frame_000221.jpg,1,4607.140,12,86,2.78966,synthetic_029
frame_000222.jpg,1,4134.884,11,87,2.21339,synthetic_026
frame_000223.jpg,1,1851.801,22,98,4.96552,synthetic_011
frame_000224.jpg,1,4270.323,16,94,3.46709,synthetic_027
frame_000225.jpg,1,333.920,14,95,2.51210,synthetic_001
frame_000226.jpg,1,5031.287,9,78,1.60128,synthetic_032
frame_000227.jpg,1,1557.148,17,100,3.50025,synthetic_009
frame_000228.jpg,1,4557.245,16,95,2.60278,synthetic_027
frame_000229.jpg,1,4523.753,11,96,1.73458,synthetic_028
frame_000230.jpg,1,1721.288,12,108,2.52558,synthetic_010
frame_000231.jpg,1,3711.374,17,115,4.25190,synthetic_023
frame_000232.jpg,1,4745.596,12,82,2.49504,synthetic_030
frame_000233.jpg,1,4286.648,23,117,5.00506,synthetic_027
frame_000234.jpg,1,2157.164,25,140,4.84967,synthetic_013
frame_000235.jpg,1,5215.177,19,154,3.28776,synthetic_033
frame_000236.jpg,1,3078.800,20,122,4.08546,synthetic_019
frame_000237.jpg,1,2636.236,17,94,3.14034,synthetic_016
frame_000238.jpg,1,2186.088,20,138,4.80228,synthetic_013
frame_000239.jpg,1,5733.634,13,106,2.29278,synthetic_035
frame_000240.jpg,1,5283.359,23,169,3.78154,synthetic_033
frame_000241.jpg,1,2516.289,18,116,3.82890,synthetic_015
frame_000242.jpg,1,5157.408,26,162,5.00380,synthetic_033
frame_000243.jpg,1,2591.013,17,92,3.70968,synthetic_016
frame_000244.jpg,1,2576.013,11,82,1.16871,synthetic_016
frame_000245.jpg,1,2756.021,10,104,2.00641,synthetic_017
frame_000246.jpg,1,2629.617,15,97,2.44567,synthetic_016
frame_000247.jpg,1,627.415,10,59,1.79922,synthetic_003
frame_000248.jpg,1,5277.330,10,93,1.92029,synthetic_034
frame_000249.jpg,1,794.295,22,114,4.03987,synthetic_004
frame_000250.jpg,1,4590.761,16,119,3.54093,synthetic_029
frame_000251.jpg,1,1387.643,9,91,1.70869,synthetic_008
frame_000252.jpg,1,642.962,12,133,1.99124,synthetic_003
frame_000253.jpg,1,781.223,21,120,3.86779,synthetic_004
frame_000254.jpg,1,1570.805,8,106,1.55351,synthetic_009
frame_000255.jpg,1,5231.778,14,115,2.83523,synthetic_032
frame_000256.jpg,1,3951.984,15,132,3.22198,synthetic_023
frame_000257.jpg,1,4843.978,17,128,3.67101,synthetic_027
frame_000258.jpg,1,4305.486,12,133,1.73880,synthetic_027
frame_000259.jpg,1,2449.968,12,126,3.43674,synthetic_015
frame_000260.jpg,1,1115.431,10,121,1.30255,synthetic_006
frame_000261.jpg,1,2934.648,16,154,2.02329,synthetic_018
frame_000262.jpg,1,3604.381,15,117,2.59004,synthetic_023
frame_000263.jpg,1,232.139,8,14,1.90045,synthetic_027
frame_000264.jpg,0,25.962,0,0,,
frame_000265.jpg,0,30.841,0,0,,
frame_000266.jpg,0,27.896,0,0,,
frame_000267.jpg,0,26.741,0,0,,
frame_000268.jpg,0,27.182,0,0,,
frame_000269.jpg,0,40.040,0,0,,
frame_000270.jpg,0,45.017,0,0,,
frame_000271.jpg,0,474.500,0,0,,
frame_000272.jpg,1,812.753,8,17,1.70233,synthetic_022
frame_000273.jpg,1,206.595,10,17,2.88758,synthetic_006
frame_000274.jpg,1,259.089,13,26,3.31841,synthetic_005
frame_000275.jpg,1,893.616,11,33,1.59958,synthetic_016
frame_000276.jpg,1,2677.873,8,40,1.31494,synthetic_022
frame_000277.jpg,1,2311.472,8,37,1.09056,synthetic_016
frame_000278.jpg,1,851.178,11,30,2.36233,synthetic_007
frame_000279.jpg,1,3330.296,13,37,2.17347,synthetic_028
frame_000280.jpg,1,623.255,9,41,1.49302,synthetic_003
frame_000281.jpg,1,4271.628,11,45,1.80482,synthetic_031
frame_000282.jpg,1,2566.141,12,57,1.55570,synthetic_017
frame_000283.jpg,1,3029.059,9,32,1.55985,synthetic_020
frame_000284.jpg,1,1987.232,14,68,1.80931,synthetic_012
frame_000285.jpg,1,3433.830,14,72,1.77253,synthetic_022
frame_000286.jpg,1,4301.496,8,55,0.59554,synthetic_027
frame_000287.jpg,1,695.468,13,77,1.55479,synthetic_003
frame_000288.jpg,1,4648.901,9,49,1.07919,synthetic_030
frame_000289.jpg,1,4702.824,10,56,0.73003,synthetic_030
